OBJECTID_1,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,LINC_Region,ShapeSTArea,ShapeSTLength
11,13,233,13233,Polk,Polk County,41475,N,N,N,N,N,N,N,Northwest Georgia,199774,312.14700317,POLK,{750B0C1D-5CE0-47F6-8605-ADFE1B0E676B},1,8702152244.00292,438247.490149517
12,13,211,13211,Morgan,Morgan County,17868,N,N,N,N,Y,N,N,Northeast Georgia,226933,354.58300781,MORGAN,{77264900-C504-4F22-BA88-409240758961},5,9885217074.75623,450976.477787253
13,13,263,13263,Talbot,Talbot County,6865,N,N,N,N,N,N,N,River Valley,252604,394.69400024,TALBOT,{3389D449-5ABA-4E65-A632-2E0E1FDB6EA4},8,11003435277.1936,554457.724084519
14,13,249,13249,Schley,Schley County,5010,N,N,N,N,N,N,N,River Valley,107386,167.78999329,SCHLEY,{2F5FBCAA-09BB-4772-8AE4-FBA26B1847B9},8,4677717556.39322,382366.892471424
15,13,291,13291,Union,Union County,21356,N,N,N,N,N,N,N,Georgia Mountains,210522,328.94000244,UNION,{93971501-44A7-418F-B32B-5B331706FAD4},2,9170333443.72805,544296.22204168
16,13,315,13315,Wilcox,Wilcox County,9255,N,N,N,N,N,N,N,Heart of Georgia Altamaha,244539,382.0920105,WILCOX,{A70295BA-6C76-4EA8-992F-3C0DAD146AF5},9,10652105402.5516,547958.45230259
17,13,299,13299,Ware,Ware County,36312,N,N,N,N,N,N,N,Southern Georgia,581392,908.42498779,WARE,{BAB3887B-1194-4503-9B32-1CE8A6A3ACB5},11,25325455839.0936,1137893.64746026
18,13,059,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.203125,121.02700043,CLARKE,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},5,3374038136.3634,300313.123404628
19,13,169,13169,Jones,Jones County,28669,N,N,N,N,N,N,N,Middle Georgia,253036,395.36801147,JONES,{47C8BCE7-694F-497E-BF2F-4406B91159A1},6,11022236125.495,449122.993933964
20,13,045,13045,Carroll,Carroll County,110527,N,N,N,N,Y,N,Y,Three Rivers,322447,503.82400513,CARROLL,{33DEDEB8-8E54-40A7-A237-847405D84720},4,14045801825.8678,575401.547462315
21,13,247,13247,Rockdale,Rockdale County,85215,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,84525.703125,132.07099915,ROCKDALE,{1146BC41-D714-4074-BFCC-B1EA52C17B96},3,3681942422.31935,332165.688380956
22,13,083,13083,Dade,Dade County,16633,N,N,N,N,N,N,N,Northwest Georgia,111481,174.18899536,DADE,{D5415141-E21E-4F67-9733-4D5F064EC36E},1,4856112666.85725,350955.273531217
23,13,213,13213,Murray,Murray County,39628,N,N,N,N,N,N,N,Northwest Georgia,221860,346.65701294,MURRAY,{E8ABF5B5-2273-4AC1-87D9-5AFBA20BF4B4},1,9664233836.21895,627948.002168804
24,13,067,13067,Cobb,Cobb County,688078,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,220455,344.45999146,COBB,{670FE76B-423B-4211-BFB0-8A9145225470},3,9603004676.01326,432808.817087514
25,13,073,13073,Columbia,Columbia County,124053,N,N,N,N,N,N,N,Central Savannah River Area,196979,307.7789917,COLUMBIA,{6A0F3E6B-D37E-419D-B8A9-ADDF6744F3B0},7,8580392797.23113,450275.83402629
26,13,117,13117,Forsyth,Forsyth County,175511,N,N,Y,Y,Y,Y,Y,Georgia Mountains,158154,247.11599731,FORSYTH,{4C27E78B-AD23-45A7-853A-CF98F6F55554},2,6889206046.63276,403455.735776237
27,13,009,13009,Baldwin,Baldwin County,45720,N,N,N,N,N,N,N,Middle Georgia,171139,267.40499878,BALDWIN,{C55236A9-D42A-4314-A269-80306559B470},6,7454833538.99521,520014.029563594
28,13,295,13295,Walker,Walker County,68756,N,N,N,N,N,N,N,Northwest Georgia,286115,447.0539856,WALKER,{2247BB29-7B35-4419-AA88-7F169BE9F6AD},1,12463153130.4093,555326.524910594
29,13,107,13107,Emanuel,Emanuel County,22598,N,N,N,N,N,N,N,Heart of Georgia Altamaha,441961,690.56500244,EMANUEL,{8A6825E9-8F50-4281-B367-0F85B7C6548F},9,19251848726.9714,793514.038887219
30,13,123,13123,Gilmer,Gilmer County,28292,N,N,N,N,N,N,N,Northwest Georgia,275947,431.16699219,GILMER,{F5584E0A-B932-4A72-BE96-EEF5D3233611},1,12020263061.4576,540589.98447676
31,13,301,13301,Warren,Warren County,5834,N,N,N,N,N,N,N,Central Savannah River Area,183530,286.76599121,WARREN,{CEABC8FF-02A8-45E2-A9D6-0696012F1CA8},7,7994571027.73258,558637.691137581
32,13,105,13105,Elbert,Elbert County,20166,N,N,N,N,N,N,N,Northeast Georgia,239539,374.2789917,ELBERT,{EAFB2FBC-0B45-4BC7-82F7-84E54BFC4D68},5,10434307365.126,530840.985899395
33,13,063,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.1015625,144.30299377,CLAYTON,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},3,4022945286.54052,381732.358600552
34,13,025,13025,Brantley,Brantley County,18411,N,N,N,N,N,N,N,Southern Georgia,286458,447.59100342,BRANTLEY,{B067B5E4-BDF5-4B2C-9751-501DEA4C3A2F},11,12478128346.8756,693095.966875423
35,13,051,13051,Chatham,Chatham County,265128,N,N,N,N,N,N,N,Coastal Regional Commission,405410,633.45300293,CHATHAM,{112314AE-92CD-4EAB-A236-C661FDCE4F27},12,17659669046.9547,775097.760749408
36,13,225,13225,Peach,Peach County,27695,N,N,N,N,N,N,N,Middle Georgia,96815.203125,151.27400208,PEACH,{2045C7C2-70D3-454C-AC60-1BDED3BF882A},6,4217272375.69872,389684.335918506
37,13,101,13101,Echols,Echols County,4034,N,N,N,N,N,N,N,Southern Georgia,269306,420.79000854,ECHOLS,{98261A81-3DA9-481E-B18E-D511B4A7824E},11,11730964643.4737,525384.479262987
38,13,109,13109,Evans,Evans County,11000,N,N,N,N,N,N,N,Heart of Georgia Altamaha,119709,187.04499817,EVANS,{785FAC0C-F74C-4E4D-8CB3-B8CB8F85851D},9,5214513010.5798,337847.479197773
39,13,239,13239,Quitman,Quitman County,2513,N,N,N,N,N,N,N,River Valley,102757,160.55799866,QUITMAN,{752BEFA6-7539-4065-8BBA-6CB502AB5B58},8,4476104971.52164,324162.866321885
40,13,155,13155,Irwin,Irwin County,9538,N,N,N,N,N,N,N,Southern Georgia,232163,362.7539978,IRWIN,{D40870BC-FC2D-4302-AB06-FBDF877A7BA4},11,10113004312.0074,527795.863053651
41,13,033,13033,Burke,Burke County,23316,N,N,N,N,N,N,N,Central Savannah River Area,534823,835.66101074,BURKE,{56423785-DD7F-429D-B00E-356D32A5FEFF},7,23296895932.4599,841247.764903171
42,13,151,13151,Henry,Henry County,203922,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,208948,326.48098755,HENRY,{35264E7E-E781-4C21-B4CC-C812B3B58FDE},3,9101764267.8417,592138.189775471
43,13,179,13179,Liberty,Liberty County,63453,N,N,N,N,N,N,N,Coastal Regional Commission,386169,603.38897705,LIBERTY,{CB7E330B-433F-46AB-9326-7292530CC621},12,16821536385.0523,905643.693565649
44,13,195,13195,Madison,Madison County,28120,N,N,N,N,N,N,N,Northeast Georgia,182774,285.58499146,MADISON,{FB984A70-A6A1-4095-8F0F-604A4143F984},5,7961656114.75228,476955.065472117
45,13,279,13279,Toombs,Toombs County,27223,N,N,N,N,N,N,N,Heart of Georgia Altamaha,237563,371.19198608,TOOMBS,{F37CE267-116E-4ECC-8FFC-82697ED17E8D},9,10348241114.6959,527563.883220389
46,13,207,13207,Monroe,Monroe County,26424,N,N,N,N,N,N,N,Middle Georgia,254551,397.73599243,MONROE,{6675314D-9931-4C36-8957-FA8A905F2F0E},6,11088247136.3256,483479.908757523
47,13,065,13065,Clinch,Clinch County,6798,N,N,N,N,N,N,N,Southern Georgia,527504,824.22497559,CLINCH,{D7037AD7-9079-4D7B-8A90-535F548AD7C7},11,22978091701.3334,748402.650637599
48,13,219,13219,Oconee,Oconee County,32808,N,N,N,N,N,N,N,Northeast Georgia,119267,186.35499573,OCONEE,{97F649C5-231F-42D8-A3F0-25E6535FE925},5,5195289415.5657,403862.082713084
49,13,019,13019,Berrien,Berrien County,19286,N,N,N,N,N,N,N,Southern Georgia,293043,457.88000488,BERRIEN,{0E14972B-097C-4986-B5EB-B72787E7DF71},11,12764969483.3807,648242.404969519
50,13,049,13049,Charlton,Charlton County,12171,N,N,N,N,N,N,N,Southern Georgia,501087,782.94897461,CHARLTON,{4C51DF2F-CF01-4556-BDC2-8F0316390F6C},11,21827367651.9425,1045797.06903255
