OBJECTID_1,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,LINC_Region,ShapeSTArea,ShapeSTLength
79,13,055,13055,Chattooga,Chattooga County,26015,N,N,N,N,N,N,N,Northwest Georgia,200695,313.58599854,CHATTOOGA,{DFD7AF90-CB9C-449E-9B69-871235851369},1,8742271449.18605,424786.546592511
80,13,005,13005,Bacon,Bacon County,11096,N,N,N,N,N,N,N,Southern Georgia,183009,285.95098877,BACON,{86253CB1-B939-4D23-9DFF-2C420FE78199},11,7971871886.56527,431963.510357315
81,13,287,13287,Turner,Turner County,8930,N,N,N,N,N,N,N,Southern Georgia,185562,289.94100952,TURNER,{756EE73A-9935-47B9-AA23-0E0CA7F9E899},11,8083086818.94196,434205.270743542
82,13,185,13185,Lowndes,Lowndes County,109233,N,N,N,N,N,N,N,Southern Georgia,326762,510.56600952,LOWNDES,{05D18CAE-4CCE-40B6-8BCA-D76DB368CCAA},11,14233759640.5321,727286.909634415
83,13,003,13003,Atkinson,Atkinson County,8375,N,N,N,N,N,N,N,Southern Georgia,220539,344.5920105,ATKINSON,{3005BA95-23DA-44BC-B08A-80E02A660277},11,9606673923.42025,561319.058298692
84,13,281,13281,Towns,Towns County,10471,N,N,N,N,N,N,N,Georgia Mountains,110050,171.95399475,TOWNS,{BAE93DAB-8E71-44DC-A3E0-0BF72F77904E},2,4793792678.31724,385950.923717629
85,13,251,13251,Screven,Screven County,14593,N,N,N,N,N,N,N,Coastal Regional Commission,420265,656.66400146,SCREVEN,{192A8056-8500-484D-9F1F-FF4C683D6632},12,18306752134.7821,767105.422708106
86,13,285,13285,Troup,Troup County,67044,N,N,N,N,N,N,N,Three Rivers,285404,445.94299316,TROUP,{508E597B-8439-4F96-BA8E-4B5F018CB3C0},4,12432186070.477,477283.762325295
87,13,175,13175,Laurens,Laurens County,48434,N,N,N,N,N,N,N,Heart of Georgia Altamaha,523893,818.58197021,LAURENS,{C58FE63F-0E74-4E02-95D0-609CF2740D8C},9,22820779220.405,668178.690299527
88,13,111,13111,Fannin,Fannin County,23682,N,N,N,N,N,N,N,Northwest Georgia,250807,391.88598633,FANNIN,{DDA9CEBF-AC90-491D-A59C-CF6626051D43},1,10925153716.4166,594537.500585724
89,13,275,13275,Thomas,Thomas County,44720,N,N,N,N,N,N,N,Southwest Georgia,353353,552.11401367,THOMAS,{95B6C347-3BCE-472D-B48C-F87673E7435E},10,15392073402.7898,548654.724997435
